level,operator,kind,name,kv,cod,reason,from,to
TSO,TenneT,line,Altheim - Isar mit Kreuzung Adlkofen,380,2029,unmatched/low-conf,Altheim,Isar mit Kreuzung Adlkofen
TSO,TenneT,line,Bergshausen - Borken,380,2027,upgrade path implausible (212 km > 78),Bergshausen,Borken
TSO,TenneT,line,Borken - Gießen/Nord,380,2027,upgrade unroutable,Borken,Gießen/Nord
TSO,TenneT,line,Cappeln/West - Regelzonengrenze TTG/AMP,380,2026,unmatched/low-conf,Cappeln/West,Regelzonengrenze TTG/AMP
TSO,TenneT,line,Conneforde - Garrel/Ost - Cappeln/West,380,2026,unmatched/low-conf,Conneforde,Cappeln/West
TSO,TenneT,line,Gießen/Nord - Karben,380,2029,upgrade unroutable,Gießen/Nord,Karben
TSO,TenneT,line,Grafenrheinfeld - Punkt Rittershausen,380,2026,unmatched/low-conf,Grafenrheinfeld,Punkt Rittershausen
TSO,TenneT,line,Landesgrenze Thüringen/Hessen - Mecklar,380,2028,unmatched/low-conf,Landesgrenze Thüringen/Hessen,Mecklar
TSO,TenneT,line,Liedingen - Bleckenstedt/Süd,220,2026,unmatched/low-conf,Liedingen,Bleckenstedt/Süd
TSO,TenneT,line,Lübeck/West - Sahms,380,2029,unmatched/low-conf,Lübeck/West,Sahms
TSO,TenneT,line,Lübeck/West - Siems,380,2027,upgrade unroutable,Lübeck/West,Siems
TSO,TenneT,line,Mecklar - Dipperz,380,2029,unmatched/low-conf,Mecklar,Dipperz
TSO,TenneT,line,Mehringen - Landesbergen,380,2026,upgrade unroutable,Mehringen,Landesbergen
TSO,TenneT,line,Netzverstärkung Karben - Großkrotzenburg,380,2027,unmatched/low-conf,Netzverstärkung Karben,Großkrotzenburg
TSO,TenneT,line,Ovenstädt - Eickum - Bechterdissen,380,2029,upgrade unroutable,Ovenstädt,Bechterdissen
TSO,TenneT,line,Pleinting - Bundesgrenze DE/AT,380,2030,unmatched/low-conf,Pleinting,Bundesgrenze DE/AT
TSO,TenneT,line,Sengwarden - Fedderwarden,380,2027,unmatched/low-conf,Sengwarden,Fedderwarden
TSO,TenneT,line,Sengwarden - Sande - Conneforde,220,2029,unmatched/low-conf,Sengwarden,Conneforde
TSO,TenneT,line,Simbach - Matzenhof - Bundesgrenze AT,380,2027,upgrade unroutable,Simbach,Bundesgrenze AT
TSO,TenneT,line,Sottrum - Mehringen,380,2026,upgrade unroutable,Sottrum,Mehringen
TSO,TenneT,line,Suchraum Ludersheim/West - Sittling - Suchraum Rottenburg - Altheim,220,2029,unmatched/low-conf,Suchraum Ludersheim/West,Altheim
TSO,TenneT,line,Ulzburg - Lübeck/West,380,2027,unmatched/low-conf,Ulzburg,Lübeck/West
TSO,TenneT,line,Wilster/West - Kreis Steinburg - Stade/West,380,2030,unmatched/low-conf,Wilster/West,Stade/West
TSO,TenneT,substation,Suchraum Ludersheim/West: 380-kV-Kompensationsspule (1x),380,2030,new site: no coordinates/connection,,
TSO,TenneT,substation,Suchraum Melbeck: 380-kV-Kompensationsspule (1x),380,2030,new site: no coordinates/connection,,
TSO,TransnetBW,line,Punkt Reicheneck - Punkt Rommelsbach,380,2027,unmatched/low-conf,Punkt Reicheneck,Punkt Rommelsbach
TSO,TransnetBW,line,Punkt Rittershausen - Kupferzell,380,2026,unmatched/low-conf,Punkt Rittershausen,Kupferzell
